代码,名称,收盘价,涨跌幅,技术形态,买入信号,MA5,MA10,MA20,MA60,布林带上轨,布林线中轨,布林线下轨,布林带位置,MACD_DIF,MACD_DEA,MACD柱,MACD信号,多头排列
000691.SZ,*ST亚太,8.52,3.27%,阳线||布林带下轨,观望,30.3,32.0,31.33,32.55,38.8,31.33,23.85,下轨下方,-0.8,0.04,-1.68,死叉,否
000692.SZ,惠天热电,4.83,0.63%,阳线||布林带下轨,观望,57.34,60.41,58.62,52.73,70.27,58.62,46.97,下轨下方,0.91,2.54,-3.26,无信号,否
000695.SZ,滨海能源,16.12,4.88%,阳线||布林带下轨,观望,37.83,38.08,38.61,36.19,42.76,38.61,34.46,下轨下方,0.14,0.69,-1.11,无信号,否
000697.SZ,炼石航空,12.05,2.73%,阳线||布林带下轨,观望,43.58,45.93,43.44,39.7,53.01,43.44,33.86,下轨下方,1.14,2.08,-1.88,无信号,否
000698.SZ,ST沈化,3.61,0.84%,阳线||布林带下轨,观望,11.17,11.76,12.18,12.59,14.26,12.18,10.11,下轨下方,-0.51,-0.19,-0.63,无信号,否
000700.SZ,模塑科技,15.45,2.39%,阳线||多头排列||MA5上穿MA10,多头排列,191.26,190.73,180.01,174.45,211.5,180.01,148.52,布林带内,5.88,5.57,0.63,无信号,是
000701.SZ,厦门信达,5.9,4.98%,阳线||布林带下轨,观望,9.71,10.27,10.43,10.59,12.21,10.43,8.65,下轨下方,-0.33,-0.04,-0.57,无信号,否
000702.SZ,正虹科技,6.59,1.85%,阳线||布林带下轨,观望,16.31,16.91,17.21,17.18,19.29,17.21,15.13,下轨下方,-0.35,0.01,-0.71,无信号,否
000705.SZ,浙江震元,7.32,0.41%,价升||布林带下轨,观望,39.41,41.25,43.68,47.22,50.66,43.68,36.7,下轨下方,-2.55,-1.72,-1.66,无信号,否
000707.SZ,双环科技,5.28,0.96%,价升||布林带下轨,观望,16.53,17.58,18.47,19.64,21.73,18.47,15.21,下轨下方,-0.96,-0.49,-0.94,无信号,否
000708.SZ,中信特钢,14.24,1.35%,阳线,观望,,,,,,,,,,,,,
